"name"	"taxRank"	"taxID"	"Mean"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"barcode06.cladeReads"	"barcode07.cladeReads"	"barcode08.cladeReads"	"barcode09.cladeReads"	"barcode10.cladeReads"	"barcode11.cladeReads"	"barcode12.cladeReads"	"barcode13.cladeReads"	"Mean.1"	"barcode01.taxonReads"	"barcode02.taxonReads"	"barcode03.taxonReads"	"barcode04.taxonReads"	"barcode05.taxonReads"	"barcode06.taxonReads"	"barcode07.taxonReads"	"barcode08.taxonReads"	"barcode09.taxonReads"	"barcode10.taxonReads"	"barcode11.taxonReads"	"barcode12.taxonReads"	"barcode13.taxonReads"	"Mean.2"	"barcode01.cladeReads.."	"barcode02.cladeReads.."	"barcode03.cladeReads.."	"barcode04.cladeReads.."	"barcode05.cladeReads.."	"barcode06.cladeReads.."	"barcode07.cladeReads.."	"barcode08.cladeReads.."	"barcode09.cladeReads.."	"barcode10.cladeReads.."	"barcode11.cladeReads.."	"barcode12.cladeReads.."	"barcode13.cladeReads.."	"Mean.3"	"barcode01.taxonReads.."	"barcode02.taxonReads.."	"barcode03.taxonReads.."	"barcode04.taxonReads.."	"barcode05.taxonReads.."	"barcode06.taxonReads.."	"barcode07.taxonReads.."	"barcode08.taxonReads.."	"barcode09.taxonReads.."	"barcode10.taxonReads.."	"barcode11.taxonReads.."	"barcode12.taxonReads.."	"barcode13.taxonReads.."	"lineage"
"Phascolarctobacterium succinatutens"	"S"	626940	1059.4	546	1917	1216	1807	681	1571	1304	1437	379	484	463	1967	NA	1059.4	546	1917	1216	1807	681	1571	1304	1437	379	484	463	1967	NA	0.069556	0.03555	0.1239	0.1187	0.1328	0.04709	0.07117	0.06847	0.06927	0.02827	0.03053	0.02878	0.1497	NA	0.069556	0.03555	0.1239	0.1187	0.1328	0.04709	0.07117	0.06847	0.06927	0.02827	0.03053	0.02878	0.1497	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Phascolarctobacterium"
"Blautia wexlerae"	"S"	418240	19443	17993	37169	26520	33108	20717	22360	19587	21060	9945	11463	11455	21355	33	19443	17993	37169	26520	33108	20717	22360	19587	21060	9945	11463	11455	21355	33	1.2992	1.171	2.402	2.589	2.433	1.433	1.013	1.029	1.015	0.7418	0.723	0.7121	1.626	0.001954	1.2992	1.171	2.402	2.589	2.433	1.433	1.013	1.029	1.015	0.7418	0.723	0.7121	1.626	0.001954	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia obeum"	"S"	40520	13430	7830	25477	18266	23575	10775	17588	15501	16722	8191	9829	9821	10989	24	13430	7830	25477	18266	23575	10775	17588	15501	16722	8191	9829	9821	10989	24	0.88563	0.5098	1.646	1.783	1.733	0.7451	0.7968	0.814	0.8061	0.6109	0.62	0.6105	0.8366	0.001421	0.88563	0.5098	1.646	1.783	1.733	0.7451	0.7968	0.814	0.8061	0.6109	0.62	0.6105	0.8366	0.001421	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia luti"	"S"	89014	4410.5	3753	8251	5916	7417	4817	5351	4714	4892	2245	2785	2834	4362	NA	4410.5	3753	8251	5916	7417	4817	5351	4714	4892	2245	2785	2834	4362	NA	0.2931	0.2443	0.5332	0.5775	0.5451	0.3331	0.2424	0.2475	0.2358	0.1674	0.1757	0.1762	0.3321	NA	0.2931	0.2443	0.5332	0.5775	0.5451	0.3331	0.2424	0.2475	0.2358	0.1674	0.1757	0.1762	0.3321	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia sp. SC05B48"	"S"	2479767	3527.3	2486	5238	3837	4968	4256	5617	4937	5201	2065	2344	2450	2456	NA	3527.3	2486	5238	3837	4968	4256	5617	4937	5201	2065	2344	2450	2456	NA	0.22613	0.1618	0.3385	0.3745	0.3651	0.2943	0.2545	0.2592	0.2507	0.154	0.1478	0.1523	0.187	NA	0.22613	0.1618	0.3385	0.3745	0.3651	0.2943	0.2545	0.2592	0.2507	0.154	0.1478	0.1523	0.187	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia>unclassified&nbsp;Blautia"
"Blautia hansenii"	"S"	1322	1984.2	669	1126	841	1043	814	4524	3830	4261	1245	1454	1491	4497	NA	1984.2	669	1126	841	1043	814	4524	3830	4261	1245	1454	1491	4497	NA	0.12019	0.04355	0.07276	0.08209	0.07666	0.05629	0.2049	0.2011	0.2054	0.09286	0.09171	0.09269	0.3424	NA	0.12019	0.04355	0.07276	0.08209	0.07666	0.05629	0.2049	0.2011	0.2054	0.09286	0.09171	0.09269	0.3424	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia argi"	"S"	1912897	685	551	1134	844	1075	739	881	812	839	426	506	499	599	NA	685	551	1134	844	1075	739	881	812	839	426	506	499	599	NA	0.044995	0.03587	0.07328	0.08238	0.07901	0.0511	0.03991	0.04264	0.04044	0.03177	0.03192	0.03102	0.0456	NA	0.044995	0.03587	0.07328	0.08238	0.07901	0.0511	0.03991	0.04264	0.04044	0.03177	0.03192	0.03102	0.0456	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia pseudococcoides"	"S"	1796616	673.38	536	1250	918	1173	742	815	727	798	330	430	477	558	NA	673.38	536	1250	918	1173	742	815	727	798	330	430	477	558	NA	0.044632	0.0349	0.08077	0.08961	0.08621	0.05131	0.03692	0.03817	0.03847	0.02461	0.02712	0.02965	0.04248	NA	0.044632	0.0349	0.08077	0.08961	0.08621	0.05131	0.03692	0.03817	0.03847	0.02461	0.02712	0.02965	0.04248	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia parvula"	"S"	2877527	511.38	404	956	693	826	549	695	587	593	286	328	330	401	NA	511.38	404	956	693	826	549	695	587	593	286	328	330	401	NA	0.033719	0.0263	0.06177	0.06764	0.06071	0.03797	0.03149	0.03082	0.02859	0.02133	0.02069	0.02051	0.03053	NA	0.033719	0.0263	0.06177	0.06764	0.06071	0.03797	0.03149	0.03082	0.02859	0.02133	0.02069	0.02051	0.03053	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia liquoris"	"S"	2779518	376.85	293	720	546	632	434	416	404	408	214	266	261	305	NA	376.85	293	720	546	632	434	416	404	408	214	266	261	305	NA	0.025175	0.01908	0.04652	0.05329	0.04645	0.03001	0.01885	0.02121	0.01967	0.01596	0.01678	0.01623	0.02322	NA	0.025175	0.01908	0.04652	0.05329	0.04645	0.03001	0.01885	0.02121	0.01967	0.01596	0.01678	0.01623	0.02322	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia hydrogenotrophica"	"S"	53443	404.54	275	555	422	527	558	598	492	605	261	322	324	320	NA	404.54	275	555	422	527	558	598	492	605	261	322	324	320	NA	0.026049	0.0179	0.03586	0.04119	0.03873	0.03859	0.02709	0.02584	0.02916	0.01947	0.02031	0.02014	0.02436	NA	0.026049	0.0179	0.03586	0.04119	0.03873	0.03859	0.02709	0.02584	0.02916	0.01947	0.02031	0.02014	0.02436	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia producta"	"S"	33035	436.77	307	718	593	652	495	541	555	581	263	314	277	382	NA	436.77	307	718	593	652	495	541	555	581	263	314	277	382	NA	0.028754	0.01999	0.04639	0.05788	0.04792	0.03423	0.02451	0.02914	0.02801	0.01962	0.01981	0.01722	0.02908	NA	0.028754	0.01999	0.04639	0.05788	0.04792	0.03423	0.02451	0.02914	0.02801	0.01962	0.01981	0.01722	0.02908	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia coccoides"	"S"	1532	338.15	242	768	568	697	288	347	311	382	147	207	205	234	NA	338.15	242	768	568	697	288	347	311	382	147	207	205	234	NA	0.022847	0.01576	0.04963	0.05544	0.05123	0.01992	0.01572	0.01633	0.01841	0.01096	0.01306	0.01274	0.01781	NA	0.022847	0.01576	0.04963	0.05544	0.05123	0.01992	0.01572	0.01633	0.01841	0.01096	0.01306	0.01274	0.01781	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Agathobacter rectalis"	"S"	39491	38022	19429	26102	18613	23158	51927	63580	55374	59444	40447	45446	46700	43993	72	38022	19429	26102	18613	23158	51927	63580	55374	59444	40447	45446	46700	43993	72	2.3735	1.265	1.687	1.817	1.702	3.591	2.88	2.908	2.866	3.017	2.866	2.903	3.349	0.004263	2.3735	1.265	1.687	1.817	1.702	3.591	2.88	2.908	2.866	3.017	2.866	2.903	3.349	0.004263	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Agathobacter"
"Dorea longicatena"	"S"	88431	7793.1	7997	15578	11047	13671	10185	9309	8192	8620	3489	4106	4174	4942	NA	7793.1	7997	15578	11047	13671	10185	9309	8192	8620	3489	4106	4174	4942	NA	0.51825	0.5206	1.007	1.078	1.005	0.7043	0.4217	0.4302	0.4155	0.2602	0.259	0.2595	0.3762	NA	0.51825	0.5206	1.007	1.078	1.005	0.7043	0.4217	0.4302	0.4155	0.2602	0.259	0.2595	0.3762	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Dorea"
"Dorea formicigenerans"	"S"	39486	4146.3	3104	5120	3638	4596	5015	6546	5641	6100	2428	2781	2800	6133	NA	4146.3	3104	5120	3638	4596	5015	6546	5641	6100	2428	2781	2800	6133	NA	0.26592	0.2021	0.3308	0.3551	0.3378	0.3468	0.2966	0.2962	0.2941	0.1811	0.1754	0.1741	0.4669	NA	0.26592	0.2021	0.3308	0.3551	0.3378	0.3468	0.2966	0.2962	0.2941	0.1811	0.1754	0.1741	0.4669	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Dorea"
"Simiaoa sunii"	"S"	2763672	23407	10312	68966	47415	60686	14523	9450	8344	9035	15963	18114	18235	23220	33	23407	10312	68966	47415	60686	14523	9450	8344	9035	15963	18114	18235	23220	33	1.6738	0.6714	4.456	4.628	4.46	1.004	0.4281	0.4381	0.4355	1.191	1.143	1.134	1.768	0.001954	1.6738	0.6714	4.456	4.628	4.46	1.004	0.4281	0.4381	0.4355	1.191	1.143	1.134	1.768	0.001954	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Simiaoa"
"[Ruminococcus] torques"	"S"	33039	9240.5	4759	15795	11145	13755	7608	13143	11518	12297	6471	7554	7588	8478	15	9240.5	4759	15795	11145	13755	7608	13143	11518	12297	6471	7554	7588	8478	15	0.60201	0.3098	1.021	1.088	1.011	0.5261	0.5954	0.6048	0.5928	0.4827	0.4765	0.4717	0.6454	0.000888	0.60201	0.3098	1.021	1.088	1.011	0.5261	0.5954	0.6048	0.5928	0.4827	0.4765	0.4717	0.6454	0.000888	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Mediterraneibacter"
"Mediterraneibacter gnavus"	"S"	33038	4617.2	2909	3369	2305	2897	2412	8892	7828	8324	3027	3344	3441	11275	NA	4617.2	2909	3369	2305	2897	2412	8892	7828	8324	3027	3344	3441	11275	NA	0.28738	0.1894	0.2177	0.225	0.2129	0.1668	0.4028	0.411	0.4013	0.2258	0.2109	0.2139	0.8584	NA	0.28738	0.1894	0.2177	0.225	0.2129	0.1668	0.4028	0.411	0.4013	0.2258	0.2109	0.2139	0.8584	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Mediterraneibacter"
"[Ruminococcus] lactaris"	"S"	46228	1548	944	2413	1753	2213	1760	2045	1734	1832	1029	1186	1197	2018	NA	1548	944	2413	1753	2213	1760	2045	1734	1832	1029	1186	1197	2018	NA	0.10188	0.06146	0.1559	0.1711	0.1627	0.1217	0.09264	0.09105	0.08831	0.07675	0.07481	0.07441	0.1536	NA	0.10188	0.06146	0.1559	0.1711	0.1627	0.1217	0.09264	0.09105	0.08831	0.07675	0.07481	0.07441	0.1536	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Mediterraneibacter"
"Roseburia intestinalis"	"S"	166486	7530.9	3856	11712	8681	10582	6148	7522	6883	7390	7823	8841	8852	9600	12	7530.9	3856	11712	8681	10582	6148	7522	6883	7390	7823	8841	8852	9600	12	0.50304	0.251	0.7568	0.8473	0.7778	0.4252	0.3408	0.3614	0.3562	0.5835	0.5576	0.5503	0.7309	0.0007104	0.50304	0.251	0.7568	0.8473	0.7778	0.4252	0.3408	0.3614	0.3562	0.5835	0.5576	0.5503	0.7309	0.0007104	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Roseburia"
"Roseburia hominis"	"S"	301301	3280.1	1826	5778	3948	5213	3379	3981	3427	3778	2350	2842	2857	3262	NA	3280.1	1826	5778	3948	5213	3379	3981	3427	3778	2350	2842	2857	3262	NA	0.21672	0.1189	0.3734	0.3854	0.3831	0.2337	0.1803	0.18	0.1821	0.1753	0.1793	0.1776	0.2483	NA	0.21672	0.1189	0.3734	0.3854	0.3831	0.2337	0.1803	0.18	0.1821	0.1753	0.1793	0.1776	0.2483	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Roseburia"
"Roseburia sp. 831b"	"S"	1261635	1432.2	863	1601	1156	1547	1529	1889	1614	1849	1334	1578	1591	2068	NA	1432.2	863	1601	1156	1547	1529	1889	1614	1849	1334	1578	1591	2068	NA	0.092822	0.05619	0.1035	0.1128	0.1137	0.1057	0.08558	0.08475	0.08913	0.0995	0.09953	0.09891	0.1574	NA	0.092822	0.05619	0.1035	0.1128	0.1137	0.1057	0.08558	0.08475	0.08913	0.0995	0.09953	0.09891	0.1574	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Roseburia>unclassified&nbsp;Roseburia"
"Roseburia sp. 499"	"S"	1261634	751.08	412	905	730	849	793	941	902	1018	715	866	897	736	NA	751.08	412	905	730	849	793	941	902	1018	715	866	897	736	NA	0.048661	0.02682	0.05848	0.07125	0.0624	0.05484	0.04263	0.04736	0.04907	0.05333	0.05462	0.05576	0.05603	NA	0.048661	0.02682	0.05848	0.07125	0.0624	0.05484	0.04263	0.04736	0.04907	0.05333	0.05462	0.05576	0.05603	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Roseburia>unclassified&nbsp;Roseburia"
"Roseburia rectibacter"	"S"	2763062	1454.2	817	2090	1422	1808	1522	1771	1540	1666	1329	1618	1646	1676	NA	1454.2	817	2090	1422	1808	1522	1771	1540	1666	1329	1618	1646	1676	NA	0.09521	0.05319	0.135	0.1388	0.1329	0.1053	0.08023	0.08087	0.08031	0.09913	0.1021	0.1023	0.1276	NA	0.09521	0.05319	0.135	0.1388	0.1329	0.1053	0.08023	0.08087	0.08031	0.09913	0.1021	0.1023	0.1276	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Roseburia"
"Coprococcus comes"	"S"	410072	3319.6	2778	6104	4373	5361	3820	4451	3695	4018	1712	2133	2056	2654	NA	3319.6	2778	6104	4373	5361	3820	4451	3695	4018	1712	2133	2056	2654	NA	0.21859	0.1809	0.3944	0.4268	0.394	0.2642	0.2016	0.194	0.1937	0.1277	0.1345	0.1278	0.2021	NA	0.21859	0.1809	0.3944	0.4268	0.394	0.2642	0.2016	0.194	0.1937	0.1277	0.1345	0.1278	0.2021	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus"
"Coprococcus catus"	"S"	116085	2231.6	1560	4971	3349	4416	2132	2565	2254	2399	1132	1298	1351	1584	NA	2231.6	1560	4971	3349	4416	2132	2565	2254	2399	1132	1298	1351	1584	NA	0.14945	0.1016	0.3212	0.3269	0.3246	0.1474	0.1162	0.1184	0.1156	0.08443	0.08187	0.08399	0.1206	NA	0.14945	0.1016	0.3212	0.3269	0.3246	0.1474	0.1162	0.1184	0.1156	0.08443	0.08187	0.08399	0.1206	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus"
"Coprococcus sp. ART55/1"	"S"	751585	2034.9	708	1198	816	1043	1193	3319	2950	3183	3310	3565	3663	1506	NA	2034.9	708	1198	816	1043	1193	3319	2950	3183	3310	3565	3663	1506	NA	0.12579	0.04609	0.07741	0.07965	0.07666	0.0825	0.1504	0.1549	0.1534	0.2469	0.2249	0.2277	0.1147	NA	0.12579	0.04609	0.07741	0.07965	0.07666	0.0825	0.1504	0.1549	0.1534	0.2469	0.2249	0.2277	0.1147	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus>unclassified&nbsp;Coprococcus"
"Coprococcus eutactus"	"S"	33043	943.77	480	810	593	757	718	1403	1249	1448	1190	1381	1356	884	NA	943.77	480	810	593	757	718	1403	1249	1448	1190	1381	1356	884	NA	0.059475	0.03125	0.05234	0.05788	0.05564	0.04965	0.06356	0.06559	0.0698	0.08876	0.08711	0.0843	0.0673	NA	0.059475	0.03125	0.05234	0.05788	0.05564	0.04965	0.06356	0.06559	0.0698	0.08876	0.08711	0.0843	0.0673	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus"
"Anaerobutyricum hallii"	"S"	39488	5780.5	4980	13224	9259	11662	5929	6222	5505	5959	2743	2986	3026	3633	18	5780.5	4980	13224	9259	11662	5929	6222	5505	5959	2743	2986	3026	3633	18	0.38974	0.3242	0.8545	0.9038	0.8571	0.41	0.2819	0.2891	0.2873	0.2046	0.1883	0.1881	0.2766	0.001066	0.38974	0.3242	0.8545	0.9038	0.8571	0.41	0.2819	0.2891	0.2873	0.2046	0.1883	0.1881	0.2766	0.001066	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Anaerobutyricum"
"Anaerostipes hadrus"	"S"	649756	2684.9	2820	4001	2792	3529	3356	3687	3399	3583	1499	1712	1824	2702	NA	2684.9	2820	4001	2792	3529	3356	3687	3399	3583	1499	1712	1824	2702	NA	0.17409	0.1836	0.2585	0.2725	0.2594	0.2321	0.167	0.1785	0.1727	0.1118	0.108	0.1134	0.2057	NA	0.17409	0.1836	0.2585	0.2725	0.2594	0.2321	0.167	0.1785	0.1727	0.1118	0.108	0.1134	0.2057	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Anaerostipes"
"Anaerostipes caccae"	"S"	105841	211.92	175	286	213	291	245	297	254	248	173	198	188	187	NA	211.92	175	286	213	291	245	297	254	248	173	198	188	187	NA	0.013773	0.01139	0.01848	0.02079	0.02139	0.01694	0.01345	0.01334	0.01195	0.0129	0.01249	0.01169	0.01424	NA	0.013773	0.01139	0.01848	0.02079	0.02139	0.01694	0.01345	0.01334	0.01195	0.0129	0.01249	0.01169	0.01424	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Anaerostipes"
"Anaerostipes rhamnosivorans"	"S"	1229621	163.92	100	237	195	216	191	233	222	211	117	123	130	156	NA	163.92	100	237	195	216	191	233	222	211	117	123	130	156	NA	0.010675	0.00651	0.01531	0.01903	0.01588	0.01321	0.01056	0.01166	0.01017	0.008727	0.007758	0.008082	0.01188	NA	0.010675	0.00651	0.01531	0.01903	0.01588	0.01321	0.01056	0.01166	0.01017	0.008727	0.007758	0.008082	0.01188	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Anaerostipes"
"Wujia chipingensis"	"S"	2763670	2331.7	2657	2329	1640	2108	2662	1605	1403	1409	3979	4603	4762	1155	NA	2331.7	2657	2329	1640	2108	2662	1605	1403	1409	3979	4603	4762	1155	NA	0.15446	0.173	0.1505	0.1601	0.1549	0.1841	0.07271	0.07367	0.06792	0.2968	0.2903	0.296	0.08793	NA	0.15446	0.173	0.1505	0.1601	0.1549	0.1841	0.07271	0.07367	0.06792	0.2968	0.2903	0.296	0.08793	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Wujia"
"Enterocloster bolteae"	"S"	208479	2707.6	1214	4198	2860	3908	2067	3966	3429	3785	1994	2223	2198	3357	NA	2707.6	1214	4198	2860	3908	2067	3966	3429	3785	1994	2223	2198	3357	NA	0.17562	0.07904	0.2713	0.2792	0.2872	0.1429	0.1797	0.1801	0.1825	0.1487	0.1402	0.1366	0.2556	NA	0.17562	0.07904	0.2713	0.2792	0.2872	0.1429	0.1797	0.1801	0.1825	0.1487	0.1402	0.1366	0.2556	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Enterocloster"
"Enterocloster asparagiformis"	"S"	333367	823.46	607	1471	999	1398	936	1155	954	1035	415	535	537	663	NA	823.46	607	1471	999	1398	936	1155	954	1035	415	535	537	663	NA	0.053873	0.03952	0.09505	0.09751	0.1027	0.06473	0.05232	0.05009	0.04989	0.03095	0.03374	0.03338	0.05047	NA	0.053873	0.03952	0.09505	0.09751	0.1027	0.06473	0.05232	0.05009	0.04989	0.03095	0.03374	0.03338	0.05047	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Enterocloster"
"Enterocloster clostridioformis"	"S"	1531	733.92	542	1128	787	1016	1402	1015	926	915	385	463	459	503	NA	733.92	542	1128	787	1016	1402	1015	926	915	385	463	459	503	NA	0.047698	0.03529	0.07289	0.07682	0.07467	0.09695	0.04598	0.04862	0.04411	0.02872	0.0292	0.02853	0.03829	NA	0.047698	0.03529	0.07289	0.07682	0.07467	0.09695	0.04598	0.04862	0.04411	0.02872	0.0292	0.02853	0.03829	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Enterocloster"
"Chordicoccus furentiruminis"	"S"	2709410	1105.2	2234	1044	790	1061	954	1751	1606	1711	700	874	930	713	NA	1105.2	2234	1044	790	1061	954	1751	1606	1711	700	874	930	713	NA	0.069191	0.1454	0.06746	0.07711	0.07798	0.06597	0.07932	0.08433	0.08248	0.05221	0.05513	0.05781	0.05428	NA	0.069191	0.1454	0.06746	0.07711	0.07798	0.06597	0.07932	0.08433	0.08248	0.05221	0.05513	0.05781	0.05428	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Chordicoccus"
"Lachnospira eligens"	"S"	39485	4658.7	1859	2256	1704	2128	2982	8448	7580	8136	5159	6011	6014	8286	NA	4658.7	1859	2256	1704	2128	2982	8448	7580	8136	5159	6011	6014	8286	NA	0.28748	0.121	0.1458	0.1663	0.1564	0.2062	0.3827	0.398	0.3922	0.3848	0.3791	0.3739	0.6308	NA	0.28748	0.121	0.1458	0.1663	0.1564	0.2062	0.3827	0.398	0.3922	0.3848	0.3791	0.3739	0.6308	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Lachnospira"
"[Clostridium] scindens"	"S"	29347	1737.2	1257	2928	2199	2756	1497	2355	2001	2255	1127	1367	1301	1541	NA	1737.2	1257	2928	2199	2756	1497	2355	2001	2255	1127	1367	1301	1541	NA	0.1139	0.08184	0.1892	0.2146	0.2026	0.1035	0.1067	0.1051	0.1087	0.08406	0.08622	0.08088	0.1173	NA	0.1139	0.08184	0.1892	0.2146	0.2026	0.1035	0.1067	0.1051	0.1087	0.08406	0.08622	0.08088	0.1173	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phocaeense"	"S"	1871021	422.92	302	775	534	717	451	465	429	548	271	313	315	378	NA	422.92	302	775	534	717	451	465	429	548	271	313	315	378	NA	0.028006	0.01966	0.05008	0.05212	0.0527	0.03119	0.02107	0.02253	0.02642	0.02021	0.01974	0.01958	0.02878	NA	0.028006	0.01966	0.05008	0.05212	0.0527	0.03119	0.02107	0.02253	0.02642	0.02021	0.01974	0.01958	0.02878	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] hylemonae"	"S"	89153	283.92	195	547	407	512	234	369	301	348	151	178	200	249	NA	283.92	195	547	407	512	234	369	301	348	151	178	200	249	NA	0.018829	0.0127	0.03535	0.03973	0.03763	0.01618	0.01672	0.01581	0.01678	0.01126	0.01123	0.01243	0.01896	NA	0.018829	0.0127	0.03535	0.03973	0.03763	0.01618	0.01672	0.01581	0.01678	0.01126	0.01123	0.01243	0.01896	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phytofermentans"	"S"	66219	98.077	79	130	127	155	93	127	125	124	69	85	87	74	NA	98.077	79	130	127	155	93	127	125	124	69	85	87	74	NA	0.0064314	0.005143	0.0084	0.0124	0.01139	0.006431	0.005753	0.006564	0.005977	0.005147	0.005361	0.005408	0.005634	NA	0.0064314	0.005143	0.0084	0.0124	0.01139	0.006431	0.005753	0.006564	0.005977	0.005147	0.005361	0.005408	0.005634	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Lachnoclostridium"
